date,country,country_name,spread_bp,source,source_url
2007-01-01,FR,France,5,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2007-02-01,FR,France,5,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2007-03-01,FR,France,6,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2007-04-01,FR,France,6,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2007-05-01,FR,France,6,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2007-06-01,FR,France,6,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2007-07-01,FR,France,8,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2007-08-01,FR,France,9,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2007-09-01,FR,France,14,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2007-10-01,FR,France,12,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2007-11-01,FR,France,14,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2007-12-01,FR,France,14,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2008-01-01,FR,France,12,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2008-02-01,FR,France,13,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2008-03-01,FR,France,22,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2008-04-01,FR,France,23,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
