"date","chart_id","series_id","series_name","country","value","axis","unit","source","source_url","frequency","source_note"
"2016-02-01","country_be_core_exvolatile_rates","be_core_exvolatile_mom_sa","% MoM SA","Belgium",0.101602,"left","% m/m SA","Eurostat HICP / Legacy X-13/X-11","https://ec.europa.eu/eurostat/databrowser/view/prc_hicp_midx/default/table?lang=en","monthly","Annualized QoQ rate calculated from a seasonally adjusted HICP index. Seasonal adjustment uses X-13ARIMA-SEATS in X-11 mode from 2012, matching the Legacy methodology in the Inflation Monitor."
"2016-03-01","country_be_core_exvolatile_rates","be_core_exvolatile_mom_sa","% MoM SA","Belgium",0.343871,"left","% m/m SA","Eurostat HICP / Legacy X-13/X-11","https://ec.europa.eu/eurostat/databrowser/view/prc_hicp_midx/default/table?lang=en","monthly","Annualized QoQ rate calculated from a seasonally adjusted HICP index. Seasonal adjustment uses X-13ARIMA-SEATS in X-11 mode from 2012, matching the Legacy methodology in the Inflation Monitor."
"2016-04-01","country_be_core_exvolatile_rates","be_core_exvolatile_mom_sa","% MoM SA","Belgium",-0.011808,"left","% m/m SA","Eurostat HICP / Legacy X-13/X-11","https://ec.europa.eu/eurostat/databrowser/view/prc_hicp_midx/default/table?lang=en","monthly","Annualized QoQ rate calculated from a seasonally adjusted HICP index. Seasonal adjustment uses X-13ARIMA-SEATS in X-11 mode from 2012, matching the Legacy methodology in the Inflation Monitor."
"2016-05-01","country_be_core_exvolatile_rates","be_core_exvolatile_mom_sa","% MoM SA","Belgium",0.130426,"left","% m/m SA","Eurostat HICP / Legacy X-13/X-11","https://ec.europa.eu/eurostat/databrowser/view/prc_hicp_midx/default/table?lang=en","monthly","Annualized QoQ rate calculated from a seasonally adjusted HICP index. Seasonal adjustment uses X-13ARIMA-SEATS in X-11 mode from 2012, matching the Legacy methodology in the Inflation Monitor."
"2016-06-01","country_be_core_exvolatile_rates","be_core_exvolatile_mom_sa","% MoM SA","Belgium",0.139998,"left","% m/m SA","Eurostat HICP / Legacy X-13/X-11","https://ec.europa.eu/eurostat/databrowser/view/prc_hicp_midx/default/table?lang=en","monthly","Annualized QoQ rate calculated from a seasonally adjusted HICP index. Seasonal adjustment uses X-13ARIMA-SEATS in X-11 mode from 2012, matching the Legacy methodology in the Inflation Monitor."
"2016-07-01","country_be_core_exvolatile_rates","be_core_exvolatile_mom_sa","% MoM SA","Belgium",0.136075,"left","% m/m SA","Eurostat HICP / Legacy X-13/X-11","https://ec.europa.eu/eurostat/databrowser/view/prc_hicp_midx/default/table?lang=en","monthly","Annualized QoQ rate calculated from a seasonally adjusted HICP index. Seasonal adjustment uses X-13ARIMA-SEATS in X-11 mode from 2012, matching the Legacy methodology in the Inflation Monitor."
"2016-08-01","country_be_core_exvolatile_rates","be_core_exvolatile_mom_sa","% MoM SA","Belgium",0.11959,"left","% m/m SA","Eurostat HICP / Legacy X-13/X-11","https://ec.europa.eu/eurostat/databrowser/view/prc_hicp_midx/default/table?lang=en","monthly","Annualized QoQ rate calculated from a seasonally adjusted HICP index. Seasonal adjustment uses X-13ARIMA-SEATS in X-11 mode from 2012, matching the Legacy methodology in the Inflation Monitor."
"2016-09-01","country_be_core_exvolatile_rates","be_core_exvolatile_mom_sa","% MoM SA","Belgium",0.027186,"left","% m/m SA","Eurostat HICP / Legacy X-13/X-11","https://ec.europa.eu/eurostat/databrowser/view/prc_hicp_midx/default/table?lang=en","monthly","Annualized QoQ rate calculated from a seasonally adjusted HICP index. Seasonal adjustment uses X-13ARIMA-SEATS in X-11 mode from 2012, matching the Legacy methodology in the Inflation Monitor."
"2016-10-01","country_be_core_exvolatile_rates","be_core_exvolatile_mom_sa","% MoM SA","Belgium",0.124457,"left","% m/m SA","Eurostat HICP / Legacy X-13/X-11","https://ec.europa.eu/eurostat/databrowser/view/prc_hicp_midx/default/table?lang=en","monthly","Annualized QoQ rate calculated from a seasonally adjusted HICP index. Seasonal adjustment uses X-13ARIMA-SEATS in X-11 mode from 2012, matching the Legacy methodology in the Inflation Monitor."
"2016-11-01","country_be_core_exvolatile_rates","be_core_exvolatile_mom_sa","% MoM SA","Belgium",0.099593,"left","% m/m SA","Eurostat HICP / Legacy X-13/X-11","https://ec.europa.eu/eurostat/databrowser/view/prc_hicp_midx/default/table?lang=en","monthly","Annualized QoQ rate calculated from a seasonally adjusted HICP index. Seasonal adjustment uses X-13ARIMA-SEATS in X-11 mode from 2012, matching the Legacy methodology in the Inflation Monitor."
